total_bill,tip,size,sex,smoker,day,time,Cluster
16.99,1.01,2,Female,No,Sun,Dinner,Cluster 1
10.34,1.66,3,Male,No,Sun,Dinner,Cluster 1
21.01,3.5,3,Male,No,Sun,Dinner,Cluster 1
23.68,3.31,2,Male,No,Sun,Dinner,Cluster 1
24.59,3.61,4,Female,No,Sun,Dinner,Cluster 1
25.29,4.71,4,Male,No,Sun,Dinner,Cluster 1
8.77,2.0,2,Male,No,Sun,Dinner,Cluster 1
26.88,3.12,4,Male,No,Sun,Dinner,Cluster 1
15.04,1.96,2,Male,No,Sun,Dinner,Cluster 1
14.78,3.23,2,Male,No,Sun,Dinner,Cluster 1
10.27,1.71,2,Male,No,Sun,Dinner,Cluster 1
35.26,5.0,4,Female,No,Sun,Dinner,Cluster 1
15.42,1.57,2,Male,No,Sun,Dinner,Cluster 1
18.43,3.0,4,Male,No,Sun,Dinner,Cluster 1
14.83,3.02,2,Female,No,Sun,Dinner,Cluster 1
21.58,3.92,2,Male,No,Sun,Dinner,Cluster 1
10.33,1.67,3,Female,No,Sun,Dinner,Cluster 1
16.29,3.71,3,Male,No,Sun,Dinner,Cluster 1
16.97,3.5,3,Female,No,Sun,Dinner,Cluster 1
20.65,3.35,3,Male,No,Sat,Dinner,Cluster 2
17.92,4.08,2,Male,No,Sat,Dinner,Cluster 2
20.29,2.75,2,Female,No,Sat,Dinner,Cluster 2
15.77,2.23,2,Female,No,Sat,Dinner,Cluster 2
39.42,7.58,4,Male,No,Sat,Dinner,Cluster 2
19.82,3.18,2,Male,No,Sat,Dinner,Cluster 2
17.81,2.34,4,Male,No,Sat,Dinner,Cluster 2
13.37,2.0,2,Male,No,Sat,Dinner,Cluster 2
12.69,2.0,2,Male,No,Sat,Dinner,Cluster 2
21.7,4.3,2,Male,No,Sat,Dinner,Cluster 2
19.65,3.0,2,Female,No,Sat,Dinner,Cluster 2
9.55,1.45,2,Male,No,Sat,Dinner,Cluster 2
18.35,2.5,4,Male,No,Sat,Dinner,Cluster 2
15.06,3.0,2,Female,No,Sat,Dinner,Cluster 2
20.69,2.45,4,Female,No,Sat,Dinner,Cluster 2
17.78,3.27,2,Male,No,Sat,Dinner,Cluster 2
24.06,3.6,3,Male,No,Sat,Dinner,Cluster 2
16.31,2.0,3,Male,No,Sat,Dinner,Cluster 2
16.93,3.07,3,Female,No,Sat,Dinner,Cluster 2
18.69,2.31,3,Male,No,Sat,Dinner,Cluster 2
31.27,5.0,3,Male,No,Sat,Dinner,Cluster 2
16.04,2.24,3,Male,No,Sat,Dinner,Cluster 2
17.46,2.54,2,Male,No,Sun,Dinner,Cluster 1
13.94,3.06,2,Male,No,Sun,Dinner,Cluster 1
9.68,1.32,2,Male,No,Sun,Dinner,Cluster 1
30.4,5.6,4,Male,No,Sun,Dinner,Cluster 1
18.29,3.0,2,Male,No,Sun,Dinner,Cluster 1
22.23,5.0,2,Male,No,Sun,Dinner,Cluster 1
32.4,6.0,4,Male,No,Sun,Dinner,Cluster 1
28.55,2.05,3,Male,No,Sun,Dinner,Cluster 1
18.04,3.0,2,Male,No,Sun,Dinner,Cluster 1
12.54,2.5,2,Male,No,Sun,Dinner,Cluster 1
10.29,2.6,2,Female,No,Sun,Dinner,Cluster 1
34.81,5.2,4,Female,No,Sun,Dinner,Cluster 1
9.94,1.56,2,Male,No,Sun,Dinner,Cluster 1
25.56,4.34,4,Male,No,Sun,Dinner,Cluster 1
19.49,3.51,2,Male,No,Sun,Dinner,Cluster 1
38.01,3.0,4,Male,Yes,Sat,Dinner,Cluster 3
26.41,1.5,2,Female,No,Sat,Dinner,Cluster 2
11.24,1.76,2,Male,Yes,Sat,Dinner,Cluster 3
48.27,6.73,4,Male,No,Sat,Dinner,Cluster 2
20.29,3.21,2,Male,Yes,Sat,Dinner,Cluster 3
13.81,2.0,2,Male,Yes,Sat,Dinner,Cluster 3
11.02,1.98,2,Male,Yes,Sat,Dinner,Cluster 3
18.29,3.76,4,Male,Yes,Sat,Dinner,Cluster 3
17.59,2.64,3,Male,No,Sat,Dinner,Cluster 2
20.08,3.15,3,Male,No,Sat,Dinner,Cluster 2
16.45,2.47,2,Female,No,Sat,Dinner,Cluster 2
3.07,1.0,1,Female,Yes,Sat,Dinner,Cluster 3
20.23,2.01,2,Male,No,Sat,Dinner,Cluster 2
15.01,2.09,2,Male,Yes,Sat,Dinner,Cluster 3
12.02,1.97,2,Male,No,Sat,Dinner,Cluster 2
17.07,3.0,3,Female,No,Sat,Dinner,Cluster 2
26.86,3.14,2,Female,Yes,Sat,Dinner,Cluster 3
25.28,5.0,2,Female,Yes,Sat,Dinner,Cluster 3
14.73,2.2,2,Female,No,Sat,Dinner,Cluster 2
10.51,1.25,2,Male,No,Sat,Dinner,Cluster 2
17.92,3.08,2,Male,Yes,Sat,Dinner,Cluster 3
27.2,4.0,4,Male,No,Thur,Lunch,Cluster 4
22.76,3.0,2,Male,No,Thur,Lunch,Cluster 4
17.29,2.71,2,Male,No,Thur,Lunch,Cluster 4
19.44,3.0,2,Male,Yes,Thur,Lunch,Cluster 4
16.66,3.4,2,Male,No,Thur,Lunch,Cluster 4
10.07,1.83,1,Female,No,Thur,Lunch,Cluster 4
32.68,5.0,2,Male,Yes,Thur,Lunch,Cluster 4
15.98,2.03,2,Male,No,Thur,Lunch,Cluster 4
34.83,5.17,4,Female,No,Thur,Lunch,Cluster 4
13.03,2.0,2,Male,No,Thur,Lunch,Cluster 4
18.28,4.0,2,Male,No,Thur,Lunch,Cluster 4
24.71,5.85,2,Male,No,Thur,Lunch,Cluster 4
21.16,3.0,2,Male,No,Thur,Lunch,Cluster 4
28.97,3.0,2,Male,Yes,Fri,Dinner,Cluster 0
22.49,3.5,2,Male,No,Fri,Dinner,Cluster 0
5.75,1.0,2,Female,Yes,Fri,Dinner,Cluster 0
16.32,4.3,2,Female,Yes,Fri,Dinner,Cluster 0
22.75,3.25,2,Female,No,Fri,Dinner,Cluster 0
40.17,4.73,4,Male,Yes,Fri,Dinner,Cluster 0
27.28,4.0,2,Male,Yes,Fri,Dinner,Cluster 0
12.03,1.5,2,Male,Yes,Fri,Dinner,Cluster 0
21.01,3.0,2,Male,Yes,Fri,Dinner,Cluster 0
12.46,1.5,2,Male,No,Fri,Dinner,Cluster 0
11.35,2.5,2,Female,Yes,Fri,Dinner,Cluster 0
15.38,3.0,2,Female,Yes,Fri,Dinner,Cluster 0
44.3,2.5,3,Female,Yes,Sat,Dinner,Cluster 3
22.42,3.48,2,Female,Yes,Sat,Dinner,Cluster 3
20.92,4.08,2,Female,No,Sat,Dinner,Cluster 2
15.36,1.64,2,Male,Yes,Sat,Dinner,Cluster 3
20.49,4.06,2,Male,Yes,Sat,Dinner,Cluster 3
25.21,4.29,2,Male,Yes,Sat,Dinner,Cluster 3
18.24,3.76,2,Male,No,Sat,Dinner,Cluster 2
14.31,4.0,2,Female,Yes,Sat,Dinner,Cluster 3
14.0,3.0,2,Male,No,Sat,Dinner,Cluster 2
7.25,1.0,1,Female,No,Sat,Dinner,Cluster 2
38.07,4.0,3,Male,No,Sun,Dinner,Cluster 1
23.95,2.55,2,Male,No,Sun,Dinner,Cluster 1
25.71,4.0,3,Female,No,Sun,Dinner,Cluster 1
17.31,3.5,2,Female,No,Sun,Dinner,Cluster 1
29.93,5.07,4,Male,No,Sun,Dinner,Cluster 1
10.65,1.5,2,Female,No,Thur,Lunch,Cluster 4
12.43,1.8,2,Female,No,Thur,Lunch,Cluster 4
24.08,2.92,4,Female,No,Thur,Lunch,Cluster 4
11.69,2.31,2,Male,No,Thur,Lunch,Cluster 4
13.42,1.68,2,Female,No,Thur,Lunch,Cluster 4
14.26,2.5,2,Male,No,Thur,Lunch,Cluster 4
15.95,2.0,2,Male,No,Thur,Lunch,Cluster 4
12.48,2.52,2,Female,No,Thur,Lunch,Cluster 4
29.8,4.2,6,Female,No,Thur,Lunch,Cluster 4
8.52,1.48,2,Male,No,Thur,Lunch,Cluster 4
14.52,2.0,2,Female,No,Thur,Lunch,Cluster 4
11.38,2.0,2,Female,No,Thur,Lunch,Cluster 4
22.82,2.18,3,Male,No,Thur,Lunch,Cluster 4
19.08,1.5,2,Male,No,Thur,Lunch,Cluster 4
20.27,2.83,2,Female,No,Thur,Lunch,Cluster 4
11.17,1.5,2,Female,No,Thur,Lunch,Cluster 4
12.26,2.0,2,Female,No,Thur,Lunch,Cluster 4
18.26,3.25,2,Female,No,Thur,Lunch,Cluster 4
8.51,1.25,2,Female,No,Thur,Lunch,Cluster 4
10.33,2.0,2,Female,No,Thur,Lunch,Cluster 4
14.15,2.0,2,Female,No,Thur,Lunch,Cluster 4
16.0,2.0,2,Male,Yes,Thur,Lunch,Cluster 4
13.16,2.75,2,Female,No,Thur,Lunch,Cluster 4
17.47,3.5,2,Female,No,Thur,Lunch,Cluster 4
34.3,6.7,6,Male,No,Thur,Lunch,Cluster 4
41.19,5.0,5,Male,No,Thur,Lunch,Cluster 4
27.05,5.0,6,Female,No,Thur,Lunch,Cluster 4
16.43,2.3,2,Female,No,Thur,Lunch,Cluster 4
8.35,1.5,2,Female,No,Thur,Lunch,Cluster 4
18.64,1.36,3,Female,No,Thur,Lunch,Cluster 4
11.87,1.63,2,Female,No,Thur,Lunch,Cluster 4
9.78,1.73,2,Male,No,Thur,Lunch,Cluster 4
7.51,2.0,2,Male,No,Thur,Lunch,Cluster 4
14.07,2.5,2,Male,No,Sun,Dinner,Cluster 1
13.13,2.0,2,Male,No,Sun,Dinner,Cluster 1
17.26,2.74,3,Male,No,Sun,Dinner,Cluster 1
24.55,2.0,4,Male,No,Sun,Dinner,Cluster 1
19.77,2.0,4,Male,No,Sun,Dinner,Cluster 1
29.85,5.14,5,Female,No,Sun,Dinner,Cluster 1
48.17,5.0,6,Male,No,Sun,Dinner,Cluster 1
25.0,3.75,4,Female,No,Sun,Dinner,Cluster 1
13.39,2.61,2,Female,No,Sun,Dinner,Cluster 1
16.49,2.0,4,Male,No,Sun,Dinner,Cluster 1
21.5,3.5,4,Male,No,Sun,Dinner,Cluster 1
12.66,2.5,2,Male,No,Sun,Dinner,Cluster 1
16.21,2.0,3,Female,No,Sun,Dinner,Cluster 1
13.81,2.0,2,Male,No,Sun,Dinner,Cluster 1
17.51,3.0,2,Female,Yes,Sun,Dinner,Cluster 1
24.52,3.48,3,Male,No,Sun,Dinner,Cluster 1
20.76,2.24,2,Male,No,Sun,Dinner,Cluster 1
31.71,4.5,4,Male,No,Sun,Dinner,Cluster 1
10.59,1.61,2,Female,Yes,Sat,Dinner,Cluster 3
10.63,2.0,2,Female,Yes,Sat,Dinner,Cluster 3
50.81,10.0,3,Male,Yes,Sat,Dinner,Cluster 2
15.81,3.16,2,Male,Yes,Sat,Dinner,Cluster 3
7.25,5.15,2,Male,Yes,Sun,Dinner,Cluster 1
31.85,3.18,2,Male,Yes,Sun,Dinner,Cluster 1
16.82,4.0,2,Male,Yes,Sun,Dinner,Cluster 1
32.9,3.11,2,Male,Yes,Sun,Dinner,Cluster 1
17.89,2.0,2,Male,Yes,Sun,Dinner,Cluster 1
14.48,2.0,2,Male,Yes,Sun,Dinner,Cluster 1
9.6,4.0,2,Female,Yes,Sun,Dinner,Cluster 1
34.63,3.55,2,Male,Yes,Sun,Dinner,Cluster 1
34.65,3.68,4,Male,Yes,Sun,Dinner,Cluster 1
23.33,5.65,2,Male,Yes,Sun,Dinner,Cluster 1
45.35,3.5,3,Male,Yes,Sun,Dinner,Cluster 1
23.17,6.5,4,Male,Yes,Sun,Dinner,Cluster 1
40.55,3.0,2,Male,Yes,Sun,Dinner,Cluster 1
20.69,5.0,5,Male,No,Sun,Dinner,Cluster 1
20.9,3.5,3,Female,Yes,Sun,Dinner,Cluster 1
30.46,2.0,5,Male,Yes,Sun,Dinner,Cluster 1
18.15,3.5,3,Female,Yes,Sun,Dinner,Cluster 1
23.1,4.0,3,Male,Yes,Sun,Dinner,Cluster 1
15.69,1.5,2,Male,Yes,Sun,Dinner,Cluster 1
19.81,4.19,2,Female,Yes,Thur,Lunch,Cluster 4
28.44,2.56,2,Male,Yes,Thur,Lunch,Cluster 4
15.48,2.02,2,Male,Yes,Thur,Lunch,Cluster 4
16.58,4.0,2,Male,Yes,Thur,Lunch,Cluster 4
7.56,1.44,2,Male,No,Thur,Lunch,Cluster 4
10.34,2.0,2,Male,Yes,Thur,Lunch,Cluster 4
43.11,5.0,4,Female,Yes,Thur,Lunch,Cluster 4
13.0,2.0,2,Female,Yes,Thur,Lunch,Cluster 4
13.51,2.0,2,Male,Yes,Thur,Lunch,Cluster 4
18.71,4.0,3,Male,Yes,Thur,Lunch,Cluster 4
12.74,2.01,2,Female,Yes,Thur,Lunch,Cluster 4
13.0,2.0,2,Female,Yes,Thur,Lunch,Cluster 4
16.4,2.5,2,Female,Yes,Thur,Lunch,Cluster 4
20.53,4.0,4,Male,Yes,Thur,Lunch,Cluster 4
16.47,3.23,3,Female,Yes,Thur,Lunch,Cluster 4
26.59,3.41,3,Male,Yes,Sat,Dinner,Cluster 3
38.73,3.0,4,Male,Yes,Sat,Dinner,Cluster 3
24.27,2.03,2,Male,Yes,Sat,Dinner,Cluster 3
12.76,2.23,2,Female,Yes,Sat,Dinner,Cluster 3
30.06,2.0,3,Male,Yes,Sat,Dinner,Cluster 3
25.89,5.16,4,Male,Yes,Sat,Dinner,Cluster 3
48.33,9.0,4,Male,No,Sat,Dinner,Cluster 2
13.27,2.5,2,Female,Yes,Sat,Dinner,Cluster 3
28.17,6.5,3,Female,Yes,Sat,Dinner,Cluster 3
12.9,1.1,2,Female,Yes,Sat,Dinner,Cluster 3
28.15,3.0,5,Male,Yes,Sat,Dinner,Cluster 3
11.59,1.5,2,Male,Yes,Sat,Dinner,Cluster 3
7.74,1.44,2,Male,Yes,Sat,Dinner,Cluster 3
30.14,3.09,4,Female,Yes,Sat,Dinner,Cluster 3
12.16,2.2,2,Male,Yes,Fri,Lunch,Cluster 0
13.42,3.48,2,Female,Yes,Fri,Lunch,Cluster 0
8.58,1.92,1,Male,Yes,Fri,Lunch,Cluster 0
15.98,3.0,3,Female,No,Fri,Lunch,Cluster 0
13.42,1.58,2,Male,Yes,Fri,Lunch,Cluster 0
16.27,2.5,2,Female,Yes,Fri,Lunch,Cluster 0
10.09,2.0,2,Female,Yes,Fri,Lunch,Cluster 0
20.45,3.0,4,Male,No,Sat,Dinner,Cluster 2
13.28,2.72,2,Male,No,Sat,Dinner,Cluster 2
22.12,2.88,2,Female,Yes,Sat,Dinner,Cluster 3
24.01,2.0,4,Male,Yes,Sat,Dinner,Cluster 3
15.69,3.0,3,Male,Yes,Sat,Dinner,Cluster 3
11.61,3.39,2,Male,No,Sat,Dinner,Cluster 2
10.77,1.47,2,Male,No,Sat,Dinner,Cluster 2
15.53,3.0,2,Male,Yes,Sat,Dinner,Cluster 3
10.07,1.25,2,Male,No,Sat,Dinner,Cluster 2
12.6,1.0,2,Male,Yes,Sat,Dinner,Cluster 3
32.83,1.17,2,Male,Yes,Sat,Dinner,Cluster 3
35.83,4.67,3,Female,No,Sat,Dinner,Cluster 2
29.03,5.92,3,Male,No,Sat,Dinner,Cluster 2
27.18,2.0,2,Female,Yes,Sat,Dinner,Cluster 3
22.67,2.0,2,Male,Yes,Sat,Dinner,Cluster 3
17.82,1.75,2,Male,No,Sat,Dinner,Cluster 2
18.78,3.0,2,Female,No,Thur,Dinner,Cluster 4
